AAA,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,6442,4794
I. Tiền và các khoản tương đương tiền,,,2420,2106
II. Đầu tư tài chính ngắn hạn,,,719,166
III. Các khoản phải thu ngắn hạn,,,1751,1552
IV. Hàng tồn kho,,,1352,828
V. Tài sản ngắn hạn khác,,,200,143
B. TÀI SẢN DÀI HẠN,,,7306,7391
I. Các khoản phải thu dài hạn,,,446,389
II. Tài sản cố định,,,3037,2762
III. Bất động sản đầu tư,,,1304,1288
IV. Tài sản dở dang dài hạn,,,1192,1594
V. Đầu tư tài chính dài hạn,,,255,561
VI. Tài sản dài hạn khác,,,1073,796
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,13748,12185
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,7513,6147
I. Nợ ngắn hạn,,,4027,3057
II. Nợ dài hạn,,,3486,3091
B. VỐN CHỦ SỞ HỮU,,,6235,6037
I. Vốn chủ sở hữu,,,6235,6037
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,13748,12185
