ACC,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,1753,1588
I. Tiền và các khoản tương đương tiền,,,51,70
II. Đầu tư tài chính ngắn hạn,,,,
III. Các khoản phải thu ngắn hạn,,,605,447
IV. Hàng tồn kho,,,1002,979
V. Tài sản ngắn hạn khác,,,96,92
B. TÀI SẢN DÀI HẠN,,,1235,1352
I. Các khoản phải thu dài hạn,,,,
II. Tài sản cố định,,,7,6
III. Bất động sản đầu tư,,,,
IV. Tài sản dở dang dài hạn,,,740,743
V. Đầu tư tài chính dài hạn,,,464,578
VI. Tài sản dài hạn khác,,,25,24
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,2989,2940
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,1652,1595
I. Nợ ngắn hạn,,,1491,1436
II. Nợ dài hạn,,,161,158
B. VỐN CHỦ SỞ HỮU,,,1337,1345
I. Vốn chủ sở hữu,,,1337,1345
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,2989,2940
