ACG,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,4120,4505
I. Tiền và các khoản tương đương tiền,,,155,160
II. Đầu tư tài chính ngắn hạn,,,2048,2274
III. Các khoản phải thu ngắn hạn,,,932,908
IV. Hàng tồn kho,,,968,1119
V. Tài sản ngắn hạn khác,,,17,44
B. TÀI SẢN DÀI HẠN,,,1520,1251
I. Các khoản phải thu dài hạn,,,146,143
II. Tài sản cố định,,,374,358
III. Bất động sản đầu tư,,,,4
IV. Tài sản dở dang dài hạn,,,3,6
V. Đầu tư tài chính dài hạn,,,780,525
VI. Tài sản dài hạn khác,,,217,214
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,5640,5755
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,1464,1494
I. Nợ ngắn hạn,,,1451,1481
II. Nợ dài hạn,,,13,13
B. VỐN CHỦ SỞ HỮU,,,4176,4261
I. Vốn chủ sở hữu,,,4176,4261
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,5640,5755
