ACL,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,1409,1491
I. Tiền và các khoản tương đương tiền,,,66,99
II. Đầu tư tài chính ngắn hạn,,,,20
III. Các khoản phải thu ngắn hạn,,,283,262
IV. Hàng tồn kho,,,953,1000
V. Tài sản ngắn hạn khác,,,107,111
B. TÀI SẢN DÀI HẠN,,,260,264
I. Các khoản phải thu dài hạn,,,,
II. Tài sản cố định,,,235,240
III. Bất động sản đầu tư,,,,
IV. Tài sản dở dang dài hạn,,,10,6
V. Đầu tư tài chính dài hạn,,,1,1
VI. Tài sản dài hạn khác,,,14,17
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,1670,1755
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,860,943
I. Nợ ngắn hạn,,,860,943
II. Nợ dài hạn,,,,
B. VỐN CHỦ SỞ HỮU,,,810,812
I. Vốn chủ sở hữu,,,810,812
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,1670,1755
