ADG,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,238,200
I. Tiền và các khoản tương đương tiền,,,49,32
II. Đầu tư tài chính ngắn hạn,,,119,96
III. Các khoản phải thu ngắn hạn,,,62,60
IV. Hàng tồn kho,,,7,12
V. Tài sản ngắn hạn khác,,,1,1
B. TÀI SẢN DÀI HẠN,,,258,276
I. Các khoản phải thu dài hạn,,,0,0
II. Tài sản cố định,,,23,23
III. Bất động sản đầu tư,,,160,177
IV. Tài sản dở dang dài hạn,,,,1
V. Đầu tư tài chính dài hạn,,,74,74
VI. Tài sản dài hạn khác,,,1,1
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,496,477
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,109,95
I. Nợ ngắn hạn,,,106,92
II. Nợ dài hạn,,,3,3
B. VỐN CHỦ SỞ HỮU,,,387,382
I. Vốn chủ sở hữu,,,387,382
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,496,477
