ANV,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Hợp nhất,Hợp nhất
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,2586,2432
I. Tiền và các khoản tương đương tiền,,,219,47
II. Đầu tư tài chính ngắn hạn,,,56,49
III. Các khoản phải thu ngắn hạn,,,552,637
IV. Hàng tồn kho,,,1653,1588
V. Tài sản ngắn hạn khác,,,105,111
B. TÀI SẢN DÀI HẠN,,,2277,2299
I. Các khoản phải thu dài hạn,,,67,69
II. Tài sản cố định,,,1073,1093
III. Bất động sản đầu tư,,,,
IV. Tài sản dở dang dài hạn,,,974,360
V. Đầu tư tài chính dài hạn,,,68,68
VI. Tài sản dài hạn khác,,,94,709
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,
TỔNG CỘNG TÀI SẢN,,,4862,4731
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ,,,2065,1803
I. Nợ ngắn hạn,,,1941,1667
II. Nợ dài hạn,,,124,136
B. VỐN CHỦ SỞ HỮU,,,2797,2929
I. Vốn chủ sở hữu,,,2797,2929
II. Nguồn kinh phí và quỹ khác,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,
TỔNG CỘNG NGUỒN VỐN,,,4862,4731
