APG,Unnamed: 1,Unnamed: 2,Q4/2024,Q1/2025
Giai đoạn,,,01/10-31/12,01/01-31/03
Hợp nhất,,,Đơn lẻ,Đơn lẻ
Kiểm toán,,,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,
Ý kiến kiểm toán,,,,
,,,,
TÀI SẢN,,,,
A. TÀI SẢN NGẮN HẠN,,,2115,3574
I. Tài sản tài chính ngắn hạn,,,2115,3571
II. Tài sản ngắn hạn khác,,,1,3
B. TÀI SẢN DÀI HẠN,,,538,510
I. Tài sản tài chính dài hạn,,,509,464
II. Tài sản cố định,,,7,6
III. Bất động sản đầu tư,,,,
IV. Chi phí xây dựng cơ bản dở dang,,,,
V. Tài sản dài hạn khác,,,21,39
VI. Dự phòng suy giảm giá trị tài sản dài hạn,,,,
TỔNG CỘNG TÀI SẢN (270=100+200),,,2653,4085
NGUỒN VỐN,,,,
A. NỢ PHẢI TRẢ (300=310+340),,,270,1673
I. Nợ ngắn hạn,,,270,1673
II. Nợ dài hạn,,,,
B. VỐN CHỦ SỞ HỮU (400=410+420),,,2384,2411
I. Vốn chủ sở hữu,,,2384,2411
II. Nguồn kinh phí và quỹ khác,,,,
TỔNG CỘNG NGUỒN VỐN (440=300+400),,,2653,4085
LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ,,,,
1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm,,,,
